"TAG","Volume  de recherche","TAG 1","TAG 2","TAG 3","TAG 4"
"direction immobilier","50","Secteur","Immobilier","",""
"immobilier","165000","Secteur","Immobilier","",""
"opérations immobilières","40","Secteur","Immobilier","",""
"Impression 3D","18100","Téchnologie","Impression 3D","",""
"Modélisation 3D","4400","Modélisation","Impression 3D","",""
"Inde","0","Country","Inde","",""
"Industrie","18100","Secteur","Industrie","",""
"industries","0","Secteur","Industrie","",""
"Infogérance","4400","Externalisation","Infogérence","",""
"Informatique quantique","1900","Innovation","Informatique Quantique","",""
"quantique","8100","Innovation","Informatique Quantique","",""
"Infosys","2400","Company","Infosys","",""
"infrastructure","0","IT","Infrastructure IT","",""
"Infrastructure IT","390","IT","Infrastructure IT","",""
"infrastructure sur site","0","IT","Infrastructure IT","",""
"infrastructures","0","IT","Infrastructure IT","",""
"Services d'infrastructures","0","IT","Infrastructure IT","",""
"ingénierie financière","1000","Finance","Ingénierie financière","",""
"Innov8","590","Company","Innov8","",""
"data innovation","70","Science des données","Innovation","",""
"Insurtechs","30","Assurance","Insurtechs","",""
"Zinrai","10","Software","Intelligence Artificielle","",""
"Intercai Etnoteam","0","Company","Intercai Etnoteam","",""
"Intermarché","1830000","Company","Intermarché","",""
"Cloud IoT Edge","10","Cloud Computing","IOT","",""
"IoT cloud","110","Cloud Computing","IOT","",""
"IoT Analytics","70","Software","IoT Analytics","",""
"IoT Rollouts","0","Software","IoT Rollouts","",""
"ISG","8100","Company","ISG","",""
"IT services providers","20","IT","IT Services","",""
"intégration IT/OT","0","IT","IT/OT","",""
"IT-OT","0","IT","IT/OT","",""
"Itesoft","1300","Company","Itesoft","",""
"ITFM","50","IT Financial Management","ITFM","",""
"digital twins; jumeaux numériques","0","IOT","Jumeau numérique","",""
"KYC","5400","Banque","Know Your Customer","",""
"KONIKA MINOLTA","8100","Company","KONIKA MINOLTA","",""
"Kubernetes","22200","Software","Kubernetes","",""
"Kuka","2400","Company","Kuka","",""
"Know Your Customer","390","Banque","KYC","",""
"Leonardo","27100","Company","Leonardo","",""
"Liquid studio","0","Software","Liquid studio","",""
"logiciel","18100","Software","logiciel","",""
"MES","22200","Production","Logiciel de pilotage de la production","",""
"Logiciels","","Software","Logiciels","",""
"SCM","8100","Logistique","Logiciels de la chaîne d’approvisionnement","",""
"Applications low code","0","Développement ","Low Code","",""
"low code","1300","Développement","Low Code","",""
"Lucchni Servizi","0","Company","Lucchni Servizi","",""
"Lutech","110","Company","Lutech","",""
"MaaS","2400","Cloud Computing","MaaS","",""
"Black-Box Machine Learning","0","Artificial intelligence","Machine Learning","",""
"Machine learning","14800","Artificial intelligence","Machine Learning","",""
"ML","18100","Artificial intelligence","Machine Learning","",""
"M2M","1600","IOT","Machine to Machine","",""
"MAIF","368000","Company","MAIF","",""
"maintenance predictive","590","Maintenance","Maintenance prédictive","",""
"Maintenance prédictive","1000","Maintenance","Maintenance prédictive","",""
"Maintenance prédictive;","0","Maintenance","Maintenance prédictive","",""
"Preddictive Maintenance","0","Maintenance","Maintenance prédictive","",""
"Marketing digital","14800","Marketing","Marketing digital","",""
"Marketo","1900","Company","Marketo","",""
"médecine","135000","Métier","Médecine","",""
"médecins","0","Métier","Médecine","",""
"Mendix","720","Company","Mendix","",""
"MERCURIA","12100","Company","MERCURIA","",""
"gestion des déchets des métaux précieux","0","Gestion des déchets","Métaux précieux","",""
"Agile","14800","Gestion d'équipe","Méthode Agile","",""
"agilité","0","Gestion d'équipe","Méthode Agile","",""
"Développement agile","260","Gestion d'équipe","Méthode Agile","",""
"Méthode Agile","18100","Gestion d'équipe","Méthode Agile","",""
"Méthodes agiles","1000","Gestion d'équipe","Méthode Agile","",""
"travail agile","40","Gestion d'équipe","Méthode Agile","",""
"développement continue","10","Développement","Méthodologie","",""
"commercial","18100","Commercial","métier","",""
"micropaiement","260","Paiement","Micropaiement","",""
"NTFS","2900","Software","Microsoft","",""
"Power Virtual Agents","260","Software","Microsoft","",""
"Microsoft","0","Company","Microsoft","",""
"MicroStrategy","1900","Company","MicroStrategy","",""
"micro-services","0","Développement","Mircoservices","",""
"MMH","5400","Company","MMH Ingenierie","",""
"Master data management","1000","Gestion de contenu d'entreprise (ECM)","Mobile device management (MDM)","",""
"MDM","8100","Gestion de contenu d'entreprise (ECM)","Mobile device management (MDM)","",""
"Smart transport robot","10","IOT","Mobilité","",""
"industrie automobile","1300","Automobile","Mobilité","",""
"Monde","135000","Company","Monde","",""
"monétisation","1600","Marketing","Monétisation","",""
"MOS LEARNING","10","Company","MOS LEARNING","",""
"moteurs open source","0","Open Source","Moteurs","",""
"MPLS","4400","Réseaux Informatique","MPLS","",""
"MuleSoft","2400","Company","MuleSoft","",""
"nearshore","480","Externalisation","Nearshore","",""
"neo-banque","0","Banque","Néo-Banque","",""
"NIS","2900","Sécurité","NIS","",""
"NLP","4400","Artificial intelligence","NLP","",""
"traitement du langage naturel","90","Artificial intelligence","NLP","",""
"Norme ISO","4400","Règlementation","Norme ISO","",""
"NoSQL","4400","Gestion des bases de données","NoSQL","",""
"NTT Communications","110","Company","NTT Communications","",""
"numérisation","2400","Transformation digitale","Numérisation","",""
"OBS","165000","Software","OBS","",""
"OceanConnect","10","Software","OceanConnect","",""
"offshore","8100","Externalisation","Offshore","",""
"Open banking","1300","Banque","Open Banking","",""
"logiciels libres","4400","Software","Open Software","",""
"OpenShift","4400","Software","OpenShift","",""
"OpenStack","4400","Software","OpenStack","",""
"HCM","1000","Software","Oracle","",""
"ODI","2900","software","Oracle","",""
"Oracle","40500","Company","Oracle","",""
"Orange Business Services","14800","Company","Orange Business Services","",""
"Orange Cyberdefense","2400","Company","Orange Cyberdéfense","",""
"Orange Cyberdéfense","320","Company","Orange Cyberdéfense","",""
"FreeRTOS","1000","Software","OS","",""
"oT Hub","10","Company","oT Hub","",""
"OVH","368000","Company","OVH","",""
"iPaaS","590","Cloud Computing","Paas","",""
"PAAS","3600","Cloud Computing","Paas","",""
"paiement en ligne","3600","Paiement","Paiement en Ligne","",""
"paiement mobile","1000","Paiement","Paiement Mobile","",""
"Parcours utilisateur","1000","Marketing","Parcours Utilisateur","",""
"Parcours utilisateurs","0","Marketing","Parcours Utilisateur","",""
"PeopleSoft","1300","Company","PeopleSoft","",""
"planification","12100","Gestion de Projet","Planification","",""
"Planisware","1600","Software","Planisware","",""
"plateformisation","0","Transformation digitale","Platefromisation","",""
"PoC","14800","Sécurité","PoC","",""
"Predix","170","Software","Predix","",""
"Détection des fraudes","10","Banque","Prévention des fraudes","",""
"prévention de la fraude","20","Banque","Prévention des fraudes","",""
"PIM","18100","Gestion de contenu d'entreprise (ECM)","Product information management (PIM)","",""
"progiciels","0","ERP","Progiciel","",""
"PMS","49500","Hôtellerie","Property Management Systems","",""
"protection des données","1300","Sécurité","protection des données","",""
"PTC","5400","Company","PTC","",""
"ThingWorx","480","Software","PWC","",""
"Qlik","3600","Company","Qlik","",""
"Qualtrics","6600","Company","Qualtrics","",""
"augmented and virual reality","0","Réalité augmentée","Réalité mixte","",""
"AV/AR","0","Réalité augmentée","Réalité mixte","",""
"réalité mixte","480","Réalité augmentée","Réalité mixte","",""
"Red Hat","2900","Company","Red Hat","",""
"réduction des coûts","260","Gestion des Achats","Réduction des coûts","",""
"GRC","4400","Marketing","Relation Client","",""
"Reply","2400","Company","Reply","",""
"ressources financières","1000","Finance","Ressources financières","",""
"automatisation des processus","110","Automatisation","Robotique","",""
"automatisation des processus robotiques","10","Automatisation","Robotique","",""
"robotics solutions","10","Automatisation","Robotique","",""
"cobots","1900","Artificial intelligence","Robotique","",""
"robot","60500","Artificial intelligence","Robotique","",""
"Robotique","0","Artificial intelligence","Robotique","",""
"robotisation","880","Artificial intelligence","Robotique","",""
"Robots","0","Artificial intelligence","Robotique","",""
"RPA","8100","Robotique","RPA","",""
"S&T","27100","Company","S&T","",""
"SaaS","18100","Cloud Computing","Saas","",""
"SAE","5400","Company","SAE","",""
"Sage","27100","Software","Sage","",""
"Salesforce","74000","Company","Salesforce","",""
"healthcare","3600","Secteur","Santé","",""
"santé","22200","Secteur","Santé","",""
"Business ByDesign","20","Software","SAP","",""
"HANA","3600","Software","SAP","",""
"hébergeur SAP","0","Software","SAP","",""
"infrastructure SAP","10","Software","SAP","",""
"Netweaver","110","Software","SAP","",""
"S/4HANA","0","Software","SAP","",""
"S4/HANA","0","Software","SAP","",""
"service SAP","320","Software","SAP","",""
"services SAP","0","Software","SAP","",""
"TCS ACE+","10","Software","SAP","",""
"SAP","40500","Company","SAP","",""
"SAS","60500","software","SAS","",""
"SCADA","3600","Instrumentation","SCADA","",""
"SD-WAN","0","Cloud Computing","SD-WAN","",""
"sécurité du Cloud","70","Cloud Computing","Sécruité","",""
"commerce de détail","2900","Retail","Secteur","",""
"commerce de détails","2900","Retail","Secteur","",""
"énergie","12100","énergie","Secteur","",""
"collectivités","4400","collectivités","Secteur","",""
"BTP","40500","BTP","Secteur","",""
"construction","33100","BTP","Secteur","",""
"assurance","60500","Assurance","Secteur","",""
"assurances","9900","Assurance","Secteur","",""
"assureurs","3600","Assurance","Secteur","",""
"Public sector","140","Secteur","Secteur Public","",""
"Secteur Public","1900","Secteur","Secteur Public","",""
"secureWISE","10","Company","secureWISE","",""
"ESET","14800","Company","Sécurité","",""
"sécurité de l'Etat","","Sécurité","sécurité de l'Etat","",""
"sécurisation des environnements de travail","0","Environnement de travail","Sécurité Environnement de travail","",""
"sécurité des environnements industriels","0","Sécurité","Sécurité Industrielle","",""
"sécurité industrielle","590","Sécurité","Sécurité Industrielle","",""
"SOC","12100","Sécurité","Security Operations Center","",""
"Service design","390","ITIL","Service Desing","",""
"fonction publique","18100","Secteur","Service Public","",""
"service public","201000","Secteur","Service Public","",""
"services publics","201000","Secteur","Services Public","",""
"SIEM","5400","Sécurité","SIEM","",""
"Siemens","40500","Company","Siemens","",""
"SIEMl","590","Company","SIEMl","",""
"signature électronique","33100","Gestion d'identité","Signature électronique","",""
"Sisense","720","Company","Sisense","",""
"SITS","27100","Company","SITS","",""
"SITSI","40","Company","SITSI","",""
"Smart data","1000","Science des données","Smart Data","",""
"smart resources","10","Company","smart resources","",""
"smart retail","90","Retail","Smart Retail","",""
"Smart services","880","Company","Smart services","",""
"SmartCore","40","Company","SmartCore","",""
"SmartEdge","30","Company","SmartEdge","",""
"SmartSight Edge","0","Software","SmartSight Edge","",""
"SmartWorks","210","Company","SmartWorks","",""
"Software","9900","Software","Software","",""
"Sogeti","4400","Company","Sogeti","",""
"Solidworks","27100","Software","Solidworks","",""
"Solutions HCM","0","Company","Solutions HCM","",""
"Sopra steria","33100","Company","Sopra steria","",""
"Spart Factoty","0","Spark Factory","Spark Factory","",""
"SQL Server","6600","Software","SQL Server","",""
"Storage-as-a-service","0","Cloud Computing","STaaS","",""
"data storytelling","480","Science des données","Storytelling","",""
"STR","8100","Company","STR","",""
"stratégie BI","0","BI","Stratégie BI","",""
"Successfactors","2400","Company","Successfactors","",""
"supply chain","22200","Logistique","supply chain","",""
"supports","0","IT","Support","",""
"CMS","33100","Gestion de contenu d'entreprise (ECM)","Système de gestion de contenu (CMS)","",""
"web content management","50","Gestion de contenu d'entreprise (ECM)","Système de gestion de contenu (CMS)","",""
"LiteOS","210","Software","Système D'exploitation","",""
"plateforme de mise en relation","210","Software","Système D'exploitation","",""
"COBIT","1600","Audit","Système d'information","",""
"logiciels embarqués","40","IOT","Systèmes Embarqués","",""
"objets IoT embarqués","0","IOT","Systèmes Embarqués","",""
"OS embarquée","0","IOT","Systèmes Embarqués","",""
"systèmes embarqués","590","IOT","Systèmes Embarqués","",""
"Tableau","90500","Software","Tableau","",""
"Talentia","1000","Company","Talentia","",""
"Talents","9900","Company","Talents","",""
"TALENTSOFT","9900","Company","TALENTSOFT","",""
"TCS BaNCS","20","Software","TCS","",""
"Telekom security","10","Company","Telekom security","",""
"télémédecine","6600","Santé","Télémédecine","",""
"Temenos Infinity","10","Software","Temenos","",""
"Temenos Paiements","0","Software","Temenos","",""
"Temenos T24 Transact","10","Software","Temenos","",""
"Temenos Wealth Suite","10","Software","Temenos","",""
"Temenos","1000","Company","Temenos","",""
"Digital Hub","110","Company","The Digital Hub","",""
"Learning company","30","Company","The Learning Company","",""
"TIBCO","3600","Company","TIBCO","",""
"tierce maintenance applicative","480","Maintenance","tierce maintenance applicative","",""
"TMS","22200","Santé","TMS","",""
"TRAINING ORCHESTRA","480","Company","TRAINING ORCHESTRA","",""
"transformation des métiers","40","Transformation digitale","transformation des métiers","",""
"transformation des processus","0","Transformation digitale","transformation des processus","",""
"transformation expérience omnicanale","0","Transformation digitale","transformation expérience omnicanale","",""
"Transport","40500","Secteur","Transport","",""
"trésorerie","12100","Finance","Trésorerie","",""
"UCaaS","390","Cloud Computing","UCaaS","",""
"UCC","1900","Santé","UCC","",""
"Unit4","390","Company","Unit4","",""
"Usine connectée","70","IOT","Usines connectée","",""
"usine numérique","50","IOT","Usines connectée","",""
"usines numériques","0","IOT","Usines connectée","",""
"UTM","3600","Gestion des vulnérabilités et gestion des menaces","UTM","",""
"VALIANTYS SAS","0","Company","VALIANTYS SAS","",""
"Veeam","6600","Company","Veeam","",""
"Machine virtuelle","3600","Cloud Computing","Virtualisation","",""
"Virtualisation","2400","Cloud Computing","Virtualisation","",""
"Vora","390","Software","Vora","",""
"Vulnérabilité","4400","Sécurité","Vulnérabilité Informatique","",""
"work out loud","20","Company","work out loud","",""
"Workday","22200","Company","Workday","",""
"Xively","30","Software","Xively","",""
"XPERTEAM","170","Company","XPERTEAM","",""
"Yooz","8100","Software","Yooz","",""
"workflow","12100","Workflow","","",""
"GTA","74000","Video Games","","",""
"gestion des ventes","70","Vente","","",""
"point de vente","6600","Vente","","",""
"Vente","33100","Vente","","",""
"Ventes","0","Vente","","",""
"expérience utilisateur","1300","UX","","",""
"expérience utilisateurs","0","UX","","",""
"interface utilisateur","390","UX","","",""
"UX","8100","User Experience","","",""
"usager","3600","User","","",""
"usagers","","User","","",""
"usages","390","User","","",""
"utilisateur","2900","User","","",""
"utilisateurs","","User","","",""
"Uberisation","5400","Uberisation","","",""
"ubersation","0","Uberisation","","",""
"Digital transformation","1300","Transformation digitale","","",""
"digitalisation","8100","Transformation digitale","","",""
"transformation","6600","Transformation digitale","","",""
"Transformation digitale","4400","Transformation digitale","","",""
"Transformation numérique","1300","Transformation digitale","","",""
"transformations","","Transformation digitale","","",""
"transform-run","0","Transformation digitale","","",""
"transormation","0","Transformation digitale","","",""
"trasnformation numérique","0","Transformation digitale","","",""
"traçabilité","4400","Traçabilité","","",""
"TMA","8100","TMA","","",""
"Trends","14800","Tendances","","",""
"télétravail","135000","Télétravail","","",""
"Telecom","0","Télécoms","","",""
"Télécom","1300","Télécoms","","",""
"Télécommunications","1600","Télécoms","","",""
"Telecoms","0","Télécoms","","",""
"télécoms","0","Télécoms","","",""
"Android","49500","Téchnologie","","",""
"technologie","49500","Téchnologie","","",""
"technologies","0","Téchnologie","","",""
"python","110000","Technologie","","",""
"R","165000","Technologie","","",""
"XpressWay","10","Technologie","","",""
"SI","33100","Système d'informations","","",""
"système d'information","0","Système d'informations","","",""
"système d'informations","0","Système d'informations","","",""
"systèmes d'informations","0","Système d'informations","","",""
"gestion des fournisseurs","90","Supplier relationship management","","",""
"Stratégie","12100","Stratégie","","",""
"startup","27100","Start-up","","",""
"Digital Pods","0","Social Media","","",""
"OPT SMS","10","SMS","","",""
"rich SMS","140","SMS","","",""
"SMS","22200","SMS","","",""
"SLA","22200","SLA","","",""
"informatique fantôme","0","Shadow IT","","",""
"Shadow IT","1300","Shadow IT","","",""
"services d'utilié publique","0","services d'utilité publique","","",""
"Services d'utilité publique","0","services d'utilité publique","","",""
"services applicatifs","20","Services d'applications","","",""
"services applications","260","Services d'applications","","",""
"services aux applications","0","Services d'applications","","",""
"Services de  projets liés aux applications","","Services d'applications","","",""
"Services de projets liés aux applications","0","Services d'applications","","",""
"services liés aux applications","0","Services d'applications","","",""
"servuer Baremetal","0","Serveur Bare-metal","","",""
"serious game","5400","Serious Game","","",""
"Managed Security Service Provider","10","Sécurité","","",""
"Secure Access Service Edge","50","Sécurité","","",""
"sécurisation de l'information","0","Sécurité","","",""
"Sécurité","22200","Sécurité","","",""
"Security Information and Event management","30","Sécurité","","",""
"Alimentation","74000","Secteur","","",""
"Culture","40500","Secteur","","",""
"administrations des données","0","Science des données","","",""
"Analyse avancée des données","0","Science des données","","",""
"analyse de données","1000","Science des données","","",""
"exploitation de la donnée","0","Science des données","","",""
"exploitation des données","70","Science des données","","",""
"RTOS","2900","RTOS","","",""
"RSE","60500","RSE","","",""
"Rentabilité","4400","ROI","","",""
"GDPR","12100","RGPD","","",""
"RGPD","90500","RGPD","","",""
"cente au détail","0","Retail","","",""
"commerçants traditionnels","0","Retail","","",""
"détaillants","880","Retail","","",""
"retail","18100","Retail","","",""
"retails","","Retail","","",""
"vente au détail","720","Retail","","",""
"Ventes au détail","320","Retail","","",""
"résilience","90500","Résilience Applicative","","",""
"Réseau","27100","Réseaux Informatique","","",""
"réseaux","0","Réseaux Informatique","","",""
"Services réseau","170","Réseaux Informatique","","",""
"Evaluation","0","Reporting","","",""
"reporting","14800","Reporting","","",""
"eIDAS","1600","Règlementation","","",""
"règlement","18100","Règlementation","","",""
"Réglementation","9900","Règlementation","","",""
"Réglementations","0","Règlementation","","",""
"régulations","1600","Règlementation","","",""
"AR","22200","Réalité augmentée","","",""
"réalité augmentée","8100","Réalité augmentée","","",""
"Réalité virtuelle","18100","Réalité augmentée","","",""
"R&D","6600","R&D","","",""
"productivité","3600","Productivité","","",""
"fabrication","6600","Production","","",""
"Manufacturing","3600","Production","","",""
"Production","9900","Production","","",""
"cycle de vie des produits","170","Product Lifecycle Management","","",""
"PLM","8100","Product Lifecycle Management","","",""
"processus métier","880","Processus Métier","","",""
"Processus","12100","Processus","","",""
"exploration des processus","0","Process mining","","",""
"Process mining","720","Process mining","","",""
"task mining","10","Process mining","","",""
"PME","22200","PME","","",""
"PRA","4400","Plan de reprise d'activité","","",""
"plan de reprise","170","Plan de reprise","","",""
"PCA","22200","Plan de Continuité d’Activité","","",""
"Pilotage","1900","Pilotage","","",""
"gestion des paiements","10","Paiement","","",""
"paiement","27100","Paiement","","",""
"paiements","","Paiement","","",""
"plateforme de âiement","0","Paiement","","",""
"outsourcing","3600","Outsourcing","","",""
"Organisation","18100","Organisation","","",""
"organisations","0","Organisation","","",""
"Opérateur télécoms","110","Opérateurs Télécoms","","",""
"opérateurs télécoms","0","Opérateurs Télécoms","","",""
"open souce","0","Open source","","",""
"Open source","6600","Open Source","","",""
"Open innovation","1900","Open Innovation","","",""
"Open data","8100","Open Data","","",""
"Open data Initiative","30","Open Data","","",""
"ouverture des données","20","Open Data","","",""
"évaluation des performances","50","Monitoring","","",""
"Monitor","18100","Monitoring","","",""
"modelisation","6600","Modélisation","","",""
"modélisation","6600","Modélisation","","",""
"mobilité","8100","Mobilité","","",""
"application mobile","4400","Mobile","","",""
"Migration","6600","Migration","","",""
"Migration Acceleration Program","10","Migration","","",""
"Migration Readiness and Planning","0","Migration","","",""
"migrations","0","Migration","","",""
"middleware","3600","Middleware","","",""
"ABC","49500","Méthode ABC","","",""
"Méthode ABC","3600","Méthode ABC","","",""
"analyse de marché","1300","Marketing","","",""
"analyse du comportement","110","Marketing","","",""
"après-vente","0","Marketing","","",""
"campagnes","14800","Marketing","","",""
"canaux de ventes","210","Marketing","","",""
"canaux marketing","140","Marketing","","",""
"communication bidirectionnelle","70","Marketing","","",""
"Communication omnicanale","170","Marketing","","",""
"CPM","33100","Marketing","","",""
"customer experience","1000","Marketing","","",""
"Cycle de vie","2400","Marketing","","",""
"Digital Customer experience","70","Marketing","","",""
"fidélisation","2400","Marketing","","",""
"intelligence marketing","50","Marketing","","",""
"market intelligence","320","Marketing","","",""
"Marketing","33100","Marketing","","",""
"personnalisation","12100","Marketing","","",""
"ROI","22200","Marketing","","",""
"satisfaction","40500","Marketing","","",""
"Service après-vente","0","Marketing","","",""
"tarification","1300","Marketing","","",""
"management","27100","Management","","",""
"Maintenance","12100","Maintenance","","",""
"chaine logistique","1000","Logistique","","",""
"chaîne logistique","0","Logistique","","",""
"connected service chain","0","Logistique","","",""
"connected service chains","0","Logistique","","",""
"gestion portuaire","20","Logistique","","",""
"intra-logistique","0","Logistique","","",""
"inventaire","8100","Logistique","","",""
"logistique","22200","Logistique","","",""
"logistique connectée","10","Logistique","","",""
"livraison","49500","Livraison","","",""
"alignement IT/métiers","0","IT","","",""
"compute","9900","IT","","",""
"computing","0","IT","","",""
"conseil informatique","590","IT","","",""
"dépenses IT","0","IT","","",""
"direction IT","10","IT","","",""
"IT","33100","IT","","",""
"IT de confiance","0","IT","","",""
"IT expenditure","10","IT","","",""
"IT users","10","IT","","",""
"ITSM","3600","IT","","",""
"organisation IT","20","IT","","",""
"Priorité IT","0","IT","","",""
"priorités IT","0","IT","","",""
"projets IT","40","IT","","",""
"service IT","590","IT","","",""
"services IT","0","IT","","",""
"Software and IT services","10","IT","","",""
"stratégie IT","140","IT","","",""
"Actifs industriels connectés","0","IOT","","",""
"bâtiment connecté","30","IOT","","",""
"bâtiments intelligents","30","IOT","","",""
"compteurs intelligents","40","IOT","","",""
"conduite autonome","390","IOT","","",""
"connected vehicle","50","IOT","","",""
"connected vehicles","0","IOT","","",""
"dispositifs IOT","10","IOT","","",""
"économie des objets","0","IOT","","",""
"Etude IoT","0","IOT","","",""
"fabrication intelligente","10","IOT","","",""
"gestion des processus IoT","0","IOT","","",""
"IIoT","590","IOT","","",""
"Industrial IoT","170","IOT","","",""
"industrie connectée","20","IOT","","",""
"industrie intelligente","10","IOT","","",""
"internet des objets","1900","IOT","","",""
"Internet of things","2400","IOT","","",""
"IOT","14800","IOT","","",""
"IoT Central","70","IOT","","",""
"IoT Core","40","IOT","","",""
"IoT Gateways Software","0","IOT","","",""
"IoT Hub","140","IOT","","",""
"IoT industriel","90","IOT","","",""
"IoT Insignts","0","IOT","","",""
"IoT Permissions","0","IOT","","",""
"IOT SOLUTIONS","90","IOT","","",""
"IoT Survey","10","IOT","","",""
"IoT WoRKS","10","IOT","","",""
"IOTA","0","IOT","","",""
"IoTWoRKS","10","IOT","","",""
"IT/OT","0","IOT","","",""
"jumeau numérique","880","IOT","","",""
"Jumeaux numériques","260","IOT","","",""
"maisons intelligentes","720","IOT","","",""
"Objects connectés","390","IOT","","",""
"Objets connectés","12100","IOT","","",""
"Passerelles IOT","0","IOT","","",""
"Patriot act","2900","IOT","","",""
"plateforme  d'échange  et  de  monétisation des données de l'IoT","0","IOT","","",""
"Plateforme de connectivité","0","IOT","","",""
"Plateforme IoT","260","IOT","","",""
"plateforme xIOT","0","IOT","","",""
"plateformes IoT","0","IOT","","",""
"produits connectés","70","IOT","","",""
"samrt cities","9900","IOT","","",""
"services pour l'IoT","0","IOT","","",""
"smart buildings","1300","IOT","","",""
"smart car","1300","IOT","","",""
"Smart city","0","IOT","","",""
"smart energy","210","IOT","","",""
"smart factory","320","IOT","","",""
"smart transport","70","IOT","","",""
"solutions de transport intelligentes","0","IOT","","",""
"solutions IoT","170","IOT","","",""
"Universal IoT Platform","10","IOT","","",""
"usine intelligente","20","IOT","","",""
"véhicules connectés","30","IOT","","",""
"ville intelligente","880","IOT","","",""
"villes intelligentes","170","IOT","","",""
"Investissement","110000","Investissement","","",""
"Investissements","0","Investissement","","",""
"INRIA","12100","Institut","","",""
"igénierie","0","Ingénieurie","","",""
"ingénierie","14800","Ingénieurie","","",""
"infogérence","4400","Infogérence","","",""
"Services managés","210","Infogérence","","",""
"hyperscale","1600","Hyperscale","","",""
"Hyperscale HSM-as-a-Service","0","Hyperscale","","",""
"hyperscalers","140","Hyperscale","","",""
"Hybris","5400","Hybris","","",""
"hôtellerie","9900","Hôtellerie","","",""
"hébergement","33100","Hébergement","","",""
"Gouvernance","5400","Gouvernance des systèmes d'information","","",""
"Gouvernance des données","590","Gouvernance des données","","",""
"gestion de la chaine logistique","260","Gestion Logistique","","",""
"Gestion logistique","480","Gestion Logistique","","",""
"gestion des réseaux","20","Gestion du réseau","","",""
"gestion du réseau","20","Gestion du réseau","","",""
"gestion de l'identité","0","Gestion d'identité","","",""
"gestion des identités","70","Gestion d'identité","","",""
"identité","12100","Gestion d'identité","","",""
"gestion des menaces","10","Gestion des vulnérabilités et gestion des menaces","","",""
"gestion des terminaux","0","Gestion des terminaux","","",""
"gestion des approvisionnements","170","Gestion des Stocks","","",""
"gestion de risques","480","Gestion des risques","","",""
"gestion des risques","2400","Gestion des risques","","",""
"gestion du risque","320","Gestion des risques","","",""
"Maitrise des risques","260","Gestion des risques","","",""
"Maîtrise des risques","90","Gestion des risques","","",""
"administration RH","50","Gestion des ressources humaines","","",""
"applications RH","70","Gestion des ressources humaines","","",""
"Capital humain","2400","Gestion des ressources humaines","","",""
"expérience étudiant","0","Gestion des ressources humaines","","",""
"Gestion des ressources humaines","1600","Gestion des ressources humaines","","",""
"gestion du capital humain","110","Gestion des ressources humaines","","",""
"GRH","2900","Gestion des ressources humaines","","",""
"HR","6600","Gestion des ressources humaines","","",""
"HRH","590","Gestion des ressources humaines","","",""
"Management RH","260","Gestion des ressources humaines","","",""
"Recrutement","40500","Gestion des ressources humaines","","",""
"Ressources humaines","33100","Gestion des ressources humaines","","",""
"retour d'expérience","0","Gestion des ressources humaines","","",""
"RH","33100","Gestion des ressources humaines","","",""
"gestion des opérations","90","Gestion des opérations","","",""
"gestion des opérations de production","10","Gestion des opérations","","",""
"gestion opérationnelle","480","Gestion des opérations","","",""
"gestion d'applications","","Gestion des Applications","","",""
"gestion des applications","90","Gestion des Applications","","",""
"gestion des achats","170","Gestion des Achats","","",""
"gestion de trésorerie","480","Gestion de Trésorerie","","",""
"gestion de projet","12100","Gestion de projet","","",""
"Gestion de projets","12100","Gestion de projet","","",""
"Gestion des temps","260","Gestion de Projet","","",""
"ECM","8100","Gestion de contenu d'entreprise (ECM)","","",""
"plateforme de services de contenus","0","Gestion de contenu d'entreprise (ECM)","","",""
"Gestion commerciale","1300","Gestion Commerciale","","",""
"gestion","8100","Gestion","","",""
"GAFA","40500","GAFA","","",""
"fournisseur","9900","Fournisseur IT","","",""
"fournisseur IT","10","Fournisseur IT","","",""
"Fournisseurs","0","Fournisseur IT","","",""
"fournisseurs IT","0","Fournisseur IT","","",""
"Fournisseur de services","170","Fournisseur de services d'applications","","",""
"fournisseurs de services","170","Fournisseur de services d'applications","","",""
"analyse de rentabilité","90","Finance","","",""
"calcul des coûts","170","Finance","","",""
"charges indirectes","480","Finance","","",""
"épargne financière","480","Finance","","",""
"Financement","5400","Finance","","",""
"finances","0","Finance","","",""
"fintech","9900","Finance","","",""
"Fintechs","0","Finance","","",""
"flux financiers","590","Finance","","",""
"institutions financières","210","Finance","","",""
"suivi financier","110","Finance","","",""
"Field Service Management","170","Field Service Management","","",""
"Field Services","320","Field Service Management","","",""
"Externalisation","4400","Externalisation","","",""
"externalisation des services","20","Externalisation","","",""
"ERP","60500","ERP","","",""
"environnement de travail","1000","Environnement de travail","","",""
"Espace de travail","1300","Environnement de travail","","",""
"lieu de travail","880","Environnement de travail","","",""
"ESN","40500","Entreprise de services du numérique (ESN)","","",""
"ESB","5400","Enterprise service bus (ESB)","","",""
"Fournisseurs de logiciels","20","Éditeur de logiciel","","",""
"Digital Commerce","70","E-Commerce","","",""
"ecommerce","6600","E-Commerce","","",""
"e-commerce","0","E-Commerce","","",""
"Droit d'usage","0","Droit d'usage","","",""
"droits d'usage","0","Droit d'usage","","",""
"digital","33100","Digital","","",""
"DevOps","22200","DevOps","","",""
"Dev-Ops","0","DevOps","","",""
"back-office","0","Développement","","",""
